text,percent
estoy usando twitter desde la computadora despues de mil años,0
Todos en pileta y yo aca en mi casa limpiando cagado de calor,0.6
Sueño con lo de Ford la re puta que te parió Gonzalo me acuerdo y lo quiero matar,0.9
Desgraciado aquel que lastima a quien juró proteger. #FuerzaEstebanMosquera,0.55
" Ya no hablaré más del asunto, tema cerrado. ",0
Diosito porque eres tan zorra,0.9
 JAJAJAJAJAJAJA que estúpido,0.525
En febrero renuevo mi plan anual de teléfono... el iPhone Xs max me está haciendo ojitos ,0.1
 Yo quiero que un día me hagan una lectura por curiosidad xD,0.025
"Si alguien cree que a Gilette le importa el feminismo más allá de aprovechar el tirón comercial de la ""moda"", quizás es que lo concibe y/o usa de igual forma.",0.2
Bueno a mi me da paja todo.,0.575
Visitá  y publicá tu aviso clasificado gratis de esa computadora o notebook que querés comprar,0.025
"3 niños asesinados en Vargas y metidos en un contenedor, 7 pacientes muertos durante un apagón en un hospital de Caracas",0.275
" Iba a ocupar la palabra �unalgas” pero creí que sería un poco vulgar, y pues una es damita",0.1
"Presuman con todo que ingresaron a la UNA carajo, lo que pasamos por el ingresó sabemos lo que se siente",0.3
ONU preocupada por la polarización en Venezuela tras detención de Guaidó ,0.1
Quiero un carro para poner música triste e ir llorando todo el camino,0.225
"Si en tu casa no te cocinan, vení a la mía que te hago pollo.",0
"Martes de triple jornada. Finalizada la 1ra jornada en la playa‍, nos preparamos para el trabajo de gimnasio.",0
NM amenaza con actuar violenta y rápidamente contra quienes salgan a protestar. Cualquiera es valiente con un ejército armado,0.3
"Es preciso atreverse. En el día del maestro, estas palabras de Freire:  ReadMore ",0.025
"""La inteligencia es una prostituta que se vende por un poco de brillo y que no sabe ya ruborizarse."" Rosario Castellanos",0.425
"Personas del mundo: Si está medio puto bus vacío no os sentéis a mi puto lado, por favor os lo pido.",0.75
El único impacto q puede haber en la economía es un suicidio colectivo de todo el chavismo,0.675
"No demuestro un carajo, pero siento un montón.",0.65
Mira como me pongo...me dijo nunca nadie en mi puta vida ,0.875
 más arrastrado que nunca...este canal de pena ajena.,0.575
 Lo relevante es que una sola variable no dice absolutamente nada. Hay que ver el sistema en su totalidad.,0.05
"Marico de pana estoy orgulloso, saben lo jodido que es hablar en un idioma que no es el tuyo y frente a millones de personas",0.575
Este año fue definitivamente como estar en un carrito chocón: vacilé que jode pero llevé puro coñazo.,0.675
" Guevon, por qué no apoyas la extradicion de Santrich?",0.825
"0 sueño y mañana clase a primera, que coñazo",0.525
¿Tienes mascota en casa? Esta nota te va a interesar  ,0
 perro soy venezolano mmgvo esto me insulta! Guerra civil!,0.9
El consumo digital encabeza una jornada que acogerá a Ficoba ,0.025
"   Bien hecho, por perro caliente, recuerde es en el terreno que se habla y eso que soy aguilucho",0.3
  Eres muy valiente y muy fuerte. Ojalá encarcelan a ese malnacido,0.525
"Descarado mojonero ... Marico triste, cornudo... Deja de estar inventando estupideces. Que idiota eres al inventar esa paja",0.875
Odio tanto que me mientan.,0.175
 : Debe ser arrecho no poder salir de la mente de alguien,0.55
"Mi GOALS de pareja siempre ha sido yo montar una pequeña empresa de venta de figuras, ropa, collares, etc de videojuegos ",0.075
"Sinceramente,nunca escuché algo así! Que degenerado que tiene que ser.. ",0.3
"Actuaste así tan infiel que pensaría que me he apoderado de tu cuerpo,abandonaste el fervor de tu rezo por mí",0.2
Necesito ropa nueva,0
Las 8 PELÍCULAS contra la violencia de género que debes ver: Desde En Tierra de Hombres hasta El Color Púrpura ,0.075
 Monta en él una fábrica clandestina de chocolate.,0
"     Petiso, lo suyo no es la matemática, siga siendo teton ",0.775
  trimardito esto es tu culpa,0.75
 �uComo por arte de magia”: Descubren nueva forma de rejuvenecer células humanas #Ciencia ,0
Ya le enseñé a ir al Oxxo... Nomas falta enseñarle a hacer cuentas porque la última vez lo hicieron pendejo con el cambio,0.6
Necesitaba desahogarme y que me digan lo estúpido que me oigo ,0.525
"Me avisas cuando llegues. ¿A donde? - A sentir algo por mi, malparido.",0.95
Gracias por responderme el mail !!! Estoy muy emocionado. Aguante boca carajo,0.175
 : JAJAJAAJA hombre con totona ,1
"En su primer día de trabajo, después de 24 días de vacaciones el presidente Macri SUSPENDE sus actividades oficiales",0.025
   Yo a gente así de mediocre no la tomo en serio y lo único que hago es tomar  sus comentarios e ignorarlos,0.3
"El imbécil malnacido cacaKast es un mentiroso, un oportunista, un descerebrado. ",0.6
"Final del juego en el , con este triunfo el León se clasifica a la final del #TorneoFOXSportsCol #SFExMFC",0.025
Que sociedad de mierda. ¿Alguna vez va a terminar este machismo?,0.725
Sería chevere que todo el dinero que gastan en balas y fuegos artificiales lo invirtieran en un hospital o en un colegio ,0.075
   Que arrastrado y mamador te ves!!!,1
"Sensible, emocionante y repleta de sentimientos AMOR DE MADRE de   disponible en este link",0.025
   Ese arrastrado va a tener que esconderse en la luna.,0.7
  Es que el pendejo no quiere darse cuenta que es su sugar daddy manita ,0.5
"¿Felices fiestas?¿Que estamos, de Verbena?¡Felicita la Navidad!Mamarracho, miserable y traidor.",0.475
 No jodas guevon. Deja de fumar eso pendejo y desmovilízate más bien. Ya estás muy viejo para ponerte asi,0.85
Tengo ese presentimiento marico de que le quieren dar la corona a alguien de América ‍�e #MissUniverse,0.475
Lo más cagado es que sólo entre para molestar a Manu de que si me los iba a enviar hasta CDMX. ,0.55
"Un amigo:  comprando computadora:—¿Y cuáles son tus actividades computacionales principales, amigo?",0.025
"Cuando se meten con un familiar o un amigo se les va toda la deconstrucción a la mierda, esa doble moral se deja ver bastante",0.525
Grandioso día para todos,0
  Trabajo de puta a la vista!!!,0.9
Aprendan hacer cosas solos. Yo anime a ir al cine solo y me di cuenta que me gusta ver películas y no es algo que me incomode ,0.05
"según facebook es un red social toxica, pero acá en twitter te dicen pobre si twiteas desde Android, y te dicen idiota si no tienes iphone",0.325
" : Hoy, mientras esperaba cruzar una calle y el semáforo estaba en rojo, un motociclista me empezó a decir vainas que me hicieron sentir mal",0.15
Otro ejemplo más de la aplicación de la ciencia y la tecnología en beneficio de la sociedad.,0
"Aprobé recursos por más de Bs.S 65 mil millones, € 152 mil y  18 millones, para el fortalecimiento de la Ruta Materna",0.025
 Que obra de arte,0
 Jajajaja así se lee eso jajajajaja ,0
   Es lo malo de no leer ni los libros texto pues.,0
     BELLEZA PRECIOSA ,0.325
" Y, ya no sos un pendejo",0.575
"Yuya rechazó a Babo porque sabe que el wey pendejo, tatuado y drogadicto no es buena opción.",0.85
 Jajajajajjaaj igual x suerte esta digitalizado pero enterrado en alguna  computadora sin uso y olvidada,0.175
"Ok, dan la cara por la radio (donde no se ve la cara). Pero Facebook Live, donde sí se ve la cara, es esconderse detrás de sus palabras",0.225
"Capriles es una verguenza para la raza humana, tiene la cara tan dura como Borges y dice tantas estupideces como Ramos Allup",0.525
"""Duérmanlo para que no sufra!"" nos decían algunos. Pero dormirlos no es una opción cuando tienen la posibilidad de salir vivo",0.3
"   No soy un maldito chavista, madurista, descerebrado, pero te puedo responder",1
"Mucho circo, desvirtúan la gravedad de la denuncias. Utilizar un hecho desgraciado para hacer política mamaguevo",0.675
las dos se van pal carajo de una ,0.725
 LA PEOR PROSTITUTA QUE HA TENIDO EL PERÚ EN SU HISTORIA Y QUE SE VENDIÓ A LOS MEJORES POSTORES,0.525
   Imagínate si yo soy guevón al cubo que serán ustedes que tienen 20 años,0.45
"  La hija quiere culear tranquila, lejos del mamarracho de la madre.",0.725
 no soy chef pero si queres te lleno la empanada de mi carne,0.475
"Sólo la lógica del criminal explica el disparate anunciado por el dictador Maduro.Además d ilegítimas, las �umedidas” son locas",0.425
"Conocemos a tanta gente tan mierda en la vida, que cuando conocemos a alguien buena gente, uno la piensa como que ¿Nojoda no será embuste?",0.775
"Byron Estrada escribe una carta para el Papa, donde deja claro que la dictadura no sólo rompió su sueño de ser un profesional, sino también sus sueños de estar en oración en plazas, escuchar las palabras del Papa y viajar a la JMJ 2019.Compartir su mensaje.",0
Suena Me vas a extrañar de Damas Gratis mientras plancho la ropa. Fav si seguro me quemo con la plancha por andar sarandeando el culo.,0.6
La justicia ha dado la razón a la guardería municipal que se negó a matricular a un niño no vacunado.,0.1
"Permíteme que un lector que está en 1º primaria de lectura como yo, te lo recomiende  ",0.025
Jajajajaja hasta el pingaso ,0.775
"Las nuevas tecnologías, los nuevos hábitos de los consumidores implican cambios en la inflación, el PBI y sus métricas. Cuando los consumidores decimos: no sentimos que la medición de IPC sea correcta, tiene que ver con el dinamismo con que cambian los hábitos de consumo. ",0.1
"Tiene que aguantar día a día el olor a marihuana, a alcohol, a cigarro. Nadie merece vivir así",0.425
#NAME?,0.175
Vi al perro de la diana y se me quito el hambre,0.075
"La mayoría son enchufados, alcahuetas y jalabolas...Y no aceptaran otro cargo que no sean esos tres... ",0.7
Damos la enhorabuena al destacado catedrático de la Universidad de Valencia y Premio Latinoamericano y Caribeño de las Ciencias Sociales,0
"Desde Miami en el encuentro de egresados de la Unimet, Lorenzo Mendoza señaló que �uLa situacion que estamos viviendo en venezuela necesita del apoyo de todos ustedes que estan afuera. El pulmón, esa parte económica y social de hacer algo por el país”",0.025
"""Odio cuando me dicen ""Hazle lo mismo"" no loco, no hay que ser igual, demuestra que eres mejor persona y punto.""",0.325
 : bueno me fui un poco a la mierda ,0.775
Que miercoles de mierda,0.95
El amar a alguien es lo mas estúpido pero a la vez valiente que podés hacer.,0.525
"Marica les juro que a mí de trago no me gusta lo que es el aguardiente, whisky, ron o cualquier otro pero lo que es pola y vino me pueden con todo hasta estar el la re puta mierda.",0.775
"El deporte de alto rendimiento exige aprender a tolerar situaciones de adversidad inmensas, desarrollar resistencia a niveles desconocidos, a comprender que nuestro cuerpo es producto de superar situaciones terribles. Son lecciones a aprender.",0.075
  Y conmigo q rpta tienen NO TENGO INTERNET ME COBRAN WI FI Y TENGO UN ROUTER Y SIN TELÉFONO SIN RPTA,0.7
Mi computadora decidio reiniciarse justo ahora y me perdi los ultimos minutos pero por lo que lei hay que matar a Ruffo yo apoyo esa idea.,0.45
"Si la MUD y sus colaboradores pretenden hacer del 23E un acto de tarima para hablar paja sin tomar acciones ni juramentar a @jguaido, los ciudadanos les van a quemar la tarima y los mandarán a la mierda. Acá la agenda la marca el ciudadano, acátese el 233.",0.625
Parce que asco la gente. ,0.6
 Que ganas de que todo vuelva a ser como antes.,0.075
Quien mierda es ese tipo y porque carajo les pide intercambio de nudes???? POR FAVOR TENGAN  MUCHÍSIMO CUIDADO CON ESAS PERSONAS,0.8
"¿Han visto ustedes alguna vez algún reportaje en televisión sobre los curas y religosos jesuitas acusado de abuso? Tienen más acusados que los maristas, pero jamás aparece nada aparte del comunicado que ellos mismos publican. ¿por qué?",0.175
Espero que no esté la moda de la barba pq no me como a nadie más en la vida,0.4
 No me creas pues mmgvo,0.65
" : Marica, usted es todo lo que yo quiero coger",0.775
¡Estos tips te ayudarán a ser más efectivo en el salón de clases!. Encuentra más datos interesantes y consejos visitando nuestro facebook ,0.075
Llega esta hora y no doy más del sueño,0.05
"#Video: Luis Videgaray estaría involucrado en un desvío de más de 23 millones de pesos que presuntamente orquestó con el ex mandatario de #Chihuahua, César Duarte.",0.075
"Sin duda alguna, comiquita @hcapriles es el ser más miserable y rastrero de la política venezolana (junto a @JulioBorges y @hramosallup). La frustración de este especímen es mayúscula",0.725
"Has leído la tesis Karina?. Hizo LO MISMO q Acuña en muchos capítulos, leí ambas. Y cuando saqué lo de CAP, más d un reportaje le dedicaron.  Transcribiré mañana unas páginas de Acuña vs Perez y a ver si no es lo mismo. ",0.075
"¡No creerás cuál es la película más romántica que recomiendan los expertos!

",0.025
Yo no sé qué habré hecho mal en mi otra vida para nacer en esta siendo tremenda cuaima,0.65
"jajajajajajaja eres una basura , te das likes y retweet.... jajajajajajaja , deberías sentir pena con apoyar un régimen que hace parecer tu nacion, pero tranquilo...ya llegará su día.",0.95
" De sinvergüenzas está el mundo lleno! Y te pagan para aguantar eso y mas , anormal!! ",0.55
" ¿Realismo perturbador? Este niño-robot puede sangrar, sentir el dolor y las emociones de un paciente pediátrico",0
  vamos a maldecir ar trimardito bigote de brocha cada vez q respiremos,0.925
Terraplanistas organizan un crucero para demostrarle al mundo que la Tierra es plana y que hemos vivido engañados. Entérate:,0.075
"Dos fotos se entienden mejor que una: Un funcionario de Policía Nacional, y portavoz de un sindicato... es acojonante. Le pongo datos oficiales del INE a ver si se quita un poquito la xenofobia ",0.675
"Nada fue igual despues de aquella noche.
Ustedes eran chicos pero este desgraciado fue el culpable de todo . ",0.75
"No saben ni qué significa Maraisa y se ponen con esta. 

Hipócrita, y gafo de paso. ",0.85
SALUD VOS MALPARIDO  ,0.95
" Nunca fea , vas a seguir",0.65
PIÑERA: La industria de la Educación La industria de la Salud La industria de la Vivienda La industria del Turismo,0
"Cuando suena la alarma, debes levantarte un poco y bruscamente durante un segundo, apretar los puños y gritar ""¡Sí!"", como si fueras un futbolista que acaba de marcar un gol. Puede resultar raro, pero inmediatamente te llenarás de vivacidad y te levantarás fácilmente de la cama.",0
Ser adulto es hacerte tu propio caldo de pollo para la gripa. ¡Quiero a mi mamita!!!! ,0.075
Soy la unica que bebe agua fria todas las epocas del año?,0
" Dele el asiento, vieja de mierrrda",1
"Yo creía que puro pendejo iba a entrar a mi vida;
Luego llegó él,
y ahora me disculpo conmigo misma.",0.475
maduro es un malparido de mierda en vez de invertir en poner a producir el pais lo que trae es bombarderos este Nicolas Maduro SE FUMO UN MISIL ALREVES MALPARIDO LOCO DE MIERDA ACABASTES CON MI PAIS MADURO MALARIDO DE MIERDA ,1
"Cómo me gusta ver que alfreriam era real. Porque no hace falta ser mejores amigos ni gritarse que se quieren a los 4 vientos... Cariño a la otra persona, respeto y valoración de su trabajo",0.025
"Que mujer que se hace la mensa ,la delincuencia organizada y no organizada esta mas peligrosa que en cualquier momento de la vida de esta señora ,que salga a la calle a observar todo lo que pasa y muchas cosas no salen en los medios .",0.325
 Ese trimardito no tiene perdón de dios.  Cuando caiga y ande sin escolta hay q agarrarlo y hacerle lo mismo que el hizo,0.725
El español es un idioma tan bonito cuando se habla y se escribe correctamente.,0
#LoMásLeído | Las aplicaciones de #IA en medicina podrían verse beneficiadas por una técnica que mejora las redes neuronales,0
Ay nojoda como me encanta pastor López diosss,0.575
"""Si eres de los que piensan que ser estrella del fútbol o del cine es ser heroes, pues te equivocas, estos son los verdaderos, aquellos que mantienen el milagro de la vida en la practica diaria del arte de la medicina""",0.025
 Burro,0.5
 Que  pajuo.,0.775
Bolivia: Raúl García Linera dice que la entrega de Battisti es el primer acto contrerrevolucionario del gobierno de Evo ,0.175
"Casi, el q se hace el pack al final soy yo y tmb me recibo de pelotudo",0.6
"  Y muy elocuente de su parte pidiendo respeto y terminando con la frase ""malparido mamerto""",0.525
"Nojoda con todas esas pruebas, testigos y demas. sobre odebrecht, chuzadas, vinculos con paramilitares entre otros. Les aconsejo para que metan a todo los del centro democratico presos. Feliz año nuevo para q sigan apoyando a un bandido indultado le pagan en bolsas de plastico..",0.725
 eres un trimardito vendido coño de tu madre  eres una escoria igual q el masburro ,0.975
Ya caché lo que hicieron pusieron su ubicación para que las fans se fueran al hotel mientras ellos se iban a pasear a plaza de armas,0.075
 Guevon en unos años va estar colgado endeudado hasta las pelotas,0.875
Ya saben quién es mi nuevo corista?? Bart Simpson le quitó el puesto a  !! No se pierdan el próximo capítulo de los simpsons,0
"no hay nada peor que una suegra cojonera,lo se por experiencia ",0.875
"A vaina otra vez fumando...MIRA GUEVON, YO TE MANTENGOOOOOO!",0.675
loca de qué sea el miercoles,0.325
Tu si hablas mierda maldito becerro. Nos estás matando de hambre porquería y quieres hablar como un héroe coño de tu madre les queda poco malditos. Asesinos que vuelve a la patria de mierda con ustedes. Ojalá te vea algún día para reventarte a coñazo mmgvo para ver si eres hombre,1
"Tu novio puñetas, el que compre frases de Daniel Habif o algo así..",0.325
 Quien lo niega es un necio... ,0.275
"Maduro: �uPersonalmente asumo la conducción de la industria petrolera” ... la estocada final, que llaman.",0.075
"Este es el ejemplo que transmite el usurpador y nulo pela nalgas de la AN, un degenerado terrorista.",0.825
" : Todo se fue al carajo con Boudou diciendo que es inocente.
¿Se supo ya el origen del millón de pesos para la fianza?",0.525
"Muchas gracias, Mario, Rafa y Diego, por crear no solo experiencias sino momentos de felicidad que pudimos compartir ayer con nuestros amigos. La amistad es el verdadero nutriente de la vida. ",0.025
 Pero estamos en un concurso de imitación. Y ha imitado canción y baile,0
"este CACA no ha vivido en el Salvador pero ya le mostraron el camino como robar evadiendo impuestos,pota se junto con la marga escobar, con cejas pintadas Interiano, con Cristiani, con sol bang, pota ya lo convirtieron en ladron!",0.425
"El negro de seguridad duerme, the bellboy tomando porron. José y yo champeta a morir.   Esto si lo voy a extrañar, dejame de hinchar las pelotas.",0.45
"como respira y justo después sonríe, esto es a lo que yo llamo arte",0
Gracias....trabajo previo de investigación. ,0.025
"Leo, busca una fuente que confies, que sea ciencia. El VIH se inició en una tribu en Africa, homosexuales se contagiaron y empezó a distribuirse en esa comunidad. Despues a otras. El VIH no da enfermedad, ataca el sistema inmune. Lee y despues contesta con conocimiento",0.325
Te extraño un putero pinche estúpido.*Un post it en la ventana del carro que diga*Yo siendo romántica como siempre ,0.575
Hoy se entiende por que nunca termino sus estudios. En la universidad se le advirtió que el plagio no era permitido.,0
 Pues así se muera ese desgraciado,1
LEDEZMA ERES UN MMGVO HP COBARDE LADRON BASURA VOMITO,0.95
"Fui supervisor de seguridad en PARQUE CENTRAL, un mayor de la policía jefe de seguridad de Andres Pastrana_ me dijo""oiga porque los escoltas del esmeraldero tienen FUSILES R-15, y usted no les dice nada"" le respondí ÁLVARO URIBE VÉLEZ les dio SALVOCONDUCTO a todos.",0.075
Semana crucial en nuestro trabajo y gestión por y para los tolimenses.  Seguimos con los tenis puestos y a paso firme trabajando por nuestra región,0.075
Si apuebo biologia el viernes el sabado me pongo hasta el pingaso ya se dijo,0.575
MAPA Las 10 ciudades más violentas del mundo son latinoamericanas:  Caracas  Acapulco  San Pedro Sula  Distrito Central  Ciudad Victoria  Maturín  San Salvador  Ciudad Guayana  Valencia  Natal,0.025
�uSi pude con 10 asignaturas en el instituto no voy a poder con 5 en la universidad” pobre ignorante mejor me hubiese callado,0.4
"...resulta que a la hora de que dos adultos críen a un niño, los que no veían problema ninguno en la segregación por sexos dicen que lo ideal es que la crianza la hagan un hombre y una mujer. Y los que veían fatal la segregación dicen que es igual si falta el padre o la madre",0.275
"Ok, dan la cara por la radio (donde no se ve la cara). Pero Facebook Live, donde sí se ve la cara, es esconderse detrás de una computadora.",0.025
"Israelies de mierda…… cobardes desgraciados hijos de puta, ojala os exploten vuestras bombas en vuestras miserables caras!!",0.825
GRACIAS POR NO ASUMIR TU RESPONSABILIDAD! PIDES APOYO Y QUIEN CARAJO APOYA AL PUEBLO DE VENEZUELA? ASUME TU PRESIDENCIA Y NOSOTROS VAMOS CON TODO!,0.675
"Matador no creas q la corrupción solo existe en Colombia. Como tampoco creas q todos los israelíes son malos...porq entonces tendrías q decir: COLOMBIANOS DE MIERDA, COBARDES HIJOS DE PUTA, y eso sería una imprudencia total.",0.85
 :   No eres más tonto porque no eres más grande,0.775
"Militar israeli asesina a niña palestina de 8 años Hijos de Putas terroristas, cobardes israelíes de Mierda.",0.95
  Tremendo estúpido.,0.85
 Proyecta ser un estúpido.,0.75
"Maduro anuncia una ""ofensiva económica"" del Gobierno tras ""ahogar las voces de la guerra"" en #Venezuela ",0.325
   Kiko eres una BASURA Chavistas estas muy evidente no lo sigas disim… ,0.875
"Maduro es un chinche en latino america, donde llega habla paja y los jalabolas no le queda otra que escucharlo, de resto donde llega estorba hasta en miraflores cuando llega cilia lo deja solo",1
  Cuanto te pagan para ser tan arrastrado..,0.8
  Me he cagado,0.65
"JAJAJAJAJA coño chavistas, ustedes viven del pasado no? Ahora ustedes no reúnen ni una cuarta parte de esa gente y los que van son obligados. Caso opuesto en la oposición que la gente con gusto va para derrocar a los tiranos usurpadores.",0.475
aqui hay que formar grupos de autodefensas combatir a los grupos terroristas mapuches ram y narcotraficantes y delincuentes porque el estado de Chile son pendejos o  cobardes o le tienen miedo a mapuches y a la izquierda mugrosa,0.575
 La despedida mas triste  te vamos a extrañar  Mexi-perro ,0
"Tu todavia piensas q maduro tiene pueblo la gente esta arrecha le quitaron la tranquilidad, la felicidad lo q se vive es desidia en toda venezuela  entiendan algo dejaron de ser mayoría hace mucho tiempo",0.325
 Un maldito chavista,0.775
qué se hace cuando extrañas la versión vieja de alguien?,0
" 
Cómo se me antoja ir a Torombolo saliendo de trabajar!!!
Alitas, hamburguesas y cerveza! 
#FelizViernes ",0
 Que vieja de mierda,1
   ¿que no es jalabolas? ¿que es una persona estudiada?,0.7
"   Buen intento, espero que disfrutes tu pernil ficticio de internet. MOJONERO… ",0.875
 Eres una basura. Que porquería eres Petro.,0.9
Salud ,0
"Ud callese descarado terrorista, cuantos de esos atentados no cometieron uds, así que no diga que lo lamenta si uds son felices viendo como mueren inocentes, nada raro que fueran las farc los autores",0.175
"Estúpido, sí, estúpido y demagogo, esos mismos dibujitos pendejos la hacías a tu anterior patrón que está en la cárcel",0.725
 otro tonto lo que me faltaba,0.225
"2019 espero no tengas un cohete en el culo tu también, mmgvo",0.675
Descubren un misterioso sello que es mencionado varias veces en la Biblia ,0.025
"   Pinche gente idiota, q cree q con aventar cuetes a lo pendejo, una imagen le va… ",1
 lo único bueno q tenia vtv y lo quitaron porque mejor era mudo pura rata desgraciada por lo menos yo desde hoy soy opositor arrecho arrecho,0.65
Aprovechando mis últimas  horas de descanso  hoy a laborar  hasta el martes  pero ni me quejo trabajo bueno y divertido ,0
"El domingo desayunamos con una buena noticia: imputado el jefe de la Policía Política del Gobierno de Rajoy, que usó fondos reservados para obstaculizar operaciones contra la corrupción del PP y crear noticias falsas contra adversarios políticos.",0.05
¡Pasar un día en el laboratorio del Instituto Pasteur Es una linda oportunidad para niños y niñas entre 8 y 12 años se acerquen a la ciencia.,0.025
"a foto está bien perra, súper natural y tu fijándote en las chichis, en lugar de admirar la belleza tratas de hacer pesos donde no hay.",0.775
siempre pensé que el pez globo estaba inflado con aire que idiota soy ajjajajajsjajah ,0.075
Cuando vas a dormir a casa de tu amiga y no te da una pinché sabana ,0.325
